date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:10	1726/1726	---M--	200	added ('OK')	image/jpeg	etag:%22865a6682e57cd51:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/CMKG-GN.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/CMKG-GN.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:10	1553/1553	---M--	200	added ('OK')	image/jpeg	etag:%2279978bcde57cd51:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/BBD-TN-Y.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/BBD-TN-Y.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:11	1958/1958	---M--	200	added ('OK')	image/jpeg	etag:%2283ee3be3e77cd51:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/HS-TN-Y.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/HS-TN-Y.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:11	1839/1839	---M--	200	added ('OK')	image/jpeg	etag:%22f25df66de67cd51:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/GBD-NTN-Y.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/GBD-NTN-Y.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:12	1621/1621	---M--	200	added ('OK')	image/jpeg	etag:%22deb640a8e77cd51:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/NBD-GN.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/NBD-GN.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:12	1908/1908	---M--	200	added ('OK')	image/jpeg	etag:%2274153834e97cd51:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/TS-GN.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/TS-GN.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:13	2058/2058	---M--	200	added ('OK')	image/jpeg	etag:%2259f43a68e97cd51:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/VTL-TN-Y.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/2019/VungBien/VTL-TN-Y.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:13	11457/11457	---M-Z	200	added ('OK')	application/javascript	etag:%22026275f14a4d51:0%22	http://nchmf.gov.vn/Kttvsite/js/Paging.js	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/js/Paging.js	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:17	21608/21608	---M--	200	added ('OK')	image/png	etag:%229521703838bfd31:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/icon_resized/1031.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/icon_resized/1031.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:20	21602/21602	---M--	200	added ('OK')	image/png	etag:%22a96c913738bfd31:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/icon_resized/1021.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/icon_resized/1021.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:20	559002/559002	---M--	200	added ('OK')	image/png	etag:%2239af8b7a9455d61:0%22	http://thoitietvietnam.gov.vn/upload/Article/haivan/2020/7/9/ssh_max_20200708.png	C:/My%20Web%20Sites/kttvtaynguyen/thoitietvietnam.gov.vn/upload/Article/haivan/2020/7/9/ssh_max_20200708.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:24	21863/21863	---M--	200	added ('OK')	image/png	etag:%2220d3b33e38bfd31:0%22	http://nchmf.gov.vn/Upload/WeatherSymbol/icon_resized/2501.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Upload/WeatherSymbol/icon_resized/2501.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:35	650463/650463	---M--	200	added ('OK')	image/png	etag:%22b917996c9455d61:0%22	http://thoitietvietnam.gov.vn/upload/Article/haivan/2020/7/9/flow2020070907.png	C:/My%20Web%20Sites/kttvtaynguyen/thoitietvietnam.gov.vn/upload/Article/haivan/2020/7/9/flow2020070907.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:35	69857/69857	---M--	200	added ('OK')	image/jpeg	etag:%228538391b271d51:0%22	http://nchmf.gov.vn/Kttvsite//images/RadaPL.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/RadaPL.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:38	106276/106276	---M--	200	added ('OK')	image/png	etag:%22fbf8d24dd76ed51:0%22	http://nchmf.gov.vn/Kttvsite//images/Settelite8.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/Settelite8.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:44	51420/51420	---M--	200	added ('OK')	image/png	etag:%22c9f9113dd86dd51:0%22	http://nchmf.gov.vn/Kttvsite//images/RainMap.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/RainMap.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:47	75332/75332	---M--	200	added ('OK')	image/jpeg	etag:%22224292999a7d41:0%22	http://nchmf.gov.vn/Kttvsite//images/imageresize.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/imageresize.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:57	82336/82336	---M--	200	added ('OK')	image/jpeg	etag:%2257c6c5ea6d3d41:0%22	http://nchmf.gov.vn/Kttvsite//images/nuocdang.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/nuocdang.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:58:58	123689/123689	---M--	200	added ('OK')	image/png	etag:%2236ea65d5d56ed51:0%22	http://nchmf.gov.vn/Kttvsite//images/Salodat.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/Salodat.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:59:06	118233/118233	---M--	200	added ('OK')	image/png	etag:%2283bafc48d6ed51:0%22	http://nchmf.gov.vn/Kttvsite//images/Wave.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/Wave.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:59:16	61950/61950	---M--	200	added ('OK')	image/jpeg	etag:%22242e26eca5d3d41:0%22	http://nchmf.gov.vn/Kttvsite//images/vatthetroi.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/vatthetroi.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:59:17	2634/2634	---M--	200	added ('OK')	image/gif	etag:%220a8b43dea53d51:0%22	http://nchmf.gov.vn//upload/nb.gif	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/upload/nb.gif	(from http://www.nchmf.gov.vn/kttvsite/)
16:59:26	173791/173791	---M--	200	added ('OK')	image/png	etag:%2275e296e78d6ed51:0%22	http://nchmf.gov.vn/Kttvsite//images/Surge.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/Surge.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:59:26	178661/178661	---M--	200	added ('OK')	image/png	etag:%22c43a69f88d6ed51:0%22	http://nchmf.gov.vn/Kttvsite//images/Currents.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/Currents.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:59:27	4175/4175	---M--	200	added ('OK')	image/jpeg	etag:%220a780fe30b9d41:0%22	http://nchmf.gov.vn//upload/no_photo.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/upload/no_photo.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:59:29	74836/74836	---M--	200	added ('OK')	image/png	etag:%220a8b43dea53d51:0%22	http://nchmf.gov.vn//upload/logo.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/upload/logo.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:59:30	24514/24514	---M--	200	added ('OK')	image/png	etag:%22936f30fdea53d51:0%22	http://nchmf.gov.vn//upload/hko_trade_mark.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/upload/hko_trade_mark.png	(from http://www.nchmf.gov.vn/kttvsite/)
16:59:31	11381/11381	---M--	200	added ('OK')	image/jpeg	etag:%2298d22d76eb53d51:0%22	http://nchmf.gov.vn//upload/9766_a14.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/upload/9766_a14.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:59:32	12867/12867	---M--	200	added ('OK')	image/png	etag:%220a8b43dea53d51:0%22	http://nchmf.gov.vn//upload/logo%20(1).png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/upload/logo%20(1).png	(from http://www.nchmf.gov.vn/kttvsite/)
16:59:35	19164/19164	---M--	200	added ('OK')	image/png	etag:%223c4514a78fb9d41:0%22	http://nchmf.gov.vn/Kttvsite//images/logo-vi.png	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/logo-vi.png	(from http://www.nchmf.gov.vn/kttvsite/)
